FIPS State-County Code,Share of black students in majority-nonwhite schools,County share white,County share black,County share Latino
26071,0,96,0,1
26073,0,83,3,3
26075,46,81,11,4
26077,74,67,19,6
26079,0,95,0,2
26081,81,64,13,15
26083,.,100,0,0
26085,0,63,31,3
26087,0,91,1,6
26089,0,81,1,9
26091,5,82,2,13
26093,0,95,1,2
26095,0,85,1,1
26097,58,53,1,2
26099,49,75,16,2
26101,0,89,1,4
26103,0,90,1,1
26105,0,86,1,8
26107,0,89,4,3
26109,0,91,0,2
26111,0,91,2,3
26113,0,95,1,2
26115,0,89,5,4
26117,0,93,1,4
26119,0,97,0,2
26121,78,72,18,6
26123,0,89,1,8
26125,62,67,20,4
26127,0,61,0,36
26129,0,95,0,2
26131,0,94,0,2
26133,0,95,1,2
26135,0,97,1,1
26137,0,96,1,1
26139,35,76,2,16
26141,0,96,1,1
26143,0,95,1,1
26145,88,59,28,10
26147,10,89,4,3
26149,4,81,3,13
26151,0,94,1,4
26153,.,79,0,1
26155,0,94,0,2
26157,0,93,1,4
26159,34,76,4,16
26161,61,65,19,5
26163,86,45,44,6
26165,0,94,1,2
27001,0,91,1,1
27003,29,77,9,6
27005,0,82,1,1
27007,4,63,1,2
27009,0,91,3,2
27011,0,95,0,2
27013,0,84,7,4
27015,0,89,0,9
27017,0,87,0,1
27019,0,87,2,6
27021,6,66,1,1
27023,0,87,1,10
27025,0,95,1,2
27027,0,85,2,7
27029,0,74,1,1
27031,0,78,0,2
27033,0,76,1,12
27035,0,95,1,1
27037,16,75,8,9
27039,0,90,1,8
27041,0,95,1,2
27043,0,86,1,11
27045,0,97,0,1
27047,0,79,1,16
27049,0,89,2,4
27051,0,96,1,2
27053,69,55,21,10
27055,0,92,3,2
27057,0,89,1,3
27059,0,92,1,2
27061,0,84,1,1
27063,0,89,1,6
27065,0,94,1,2
27067,0,70,6,22
27069,0,93,1,4
27071,0,89,2,1
27073,0,90,1,4
27075,0,95,1,1
27077,0,91,1,1
27079,0,85,1,12
27081,.,97,0,1
27083,0,81,4,9
27085,0,89,1,9
27087,100,30,0,2
27089,0,92,0,7
27091,0,92,1,5
27093,0,94,0,4
27095,0,91,1,1
27097,0,95,1,2
27099,26,72,4,19
27101,0,93,1,3
27103,0,85,5,7
27105,95,52,4,34
27107,0,86,1,8
27109,19,73,9,7
27111,0,90,2,5
27113,0,87,2,5
27115,0,88,2,2
27117,0,89,1,6
27119,0,86,1,10
27121,0,96,2,1
27123,74,43,19,11
27125,0,88,1,6
27127,0,80,1,3
27129,0,82,1,15
27131,0,77,5,15
27133,0,92,1,4
27135,0,91,1,1
27137,13,87,3,2
27139,14,79,4,7
27141,55,89,3,3
27143,0,79,1,18
27145,9,85,6,5
27147,0,83,5,10
27149,0,91,1,4
27151,0,91,0,6
27153,0,85,1,12
27155,25,85,1,4
27157,0,93,1,4
27159,0,94,1,2
27161,0,89,2,8
27163,3,80,5,5
27165,0,57,1,41
27167,0,90,1,6
27169,0,87,3,5
27171,0,92,1,3
27173,0,82,1,8
28001,100,9,89,1
28003,0,79,16,3
28005,100,15,83,1
28007,60,45,52,2
28009,80,46,49,3
28011,97,17,80,2
28013,29,54,34,10
28015,100,34,65,1
28017,62,40,54,5
28019,43,64,34,1
28021,100,1,99,0
28023,93,55,44,1
28025,100,18,81,1
28027,100,3,95,1
28029,94,25,72,3
28031,80,45,52,1
28033,31,61,31,6
28035,83,44,51,3
28037,32,55,44,0
28039,0,88,9,2
28041,0,81,18,0
28043,0,51,47,0
28045,0,84,11,2
28047,48,58,34,4
28049,99,10,89,1
28051,100,0,99,0
28053,100,1,97,1
28057,0,90,8,1
28059,72,64,28,5
28061,94,24,76,0
28063,100,0,99,0
28065,100,11,88,1
28067,68,55,38,5
28069,100,2,97,0
28071,1,59,35,3
28073,4,70,24,3
28075,88,40,57,1
28077,21,58,40,1
28079,99,30,61,7
28081,88,57,38,2
28083,100,4,94,2
28085,81,62,37,0
28087,78,37,60,1
28089,77,43,52,2
28091,69,52,46,1
28093,91,27,66,5
28095,60,60,39,1
28097,100,35,64,1
28099,59,57,33,1
28101,59,57,40,1
28103,100,1,98,1
28105,100,27,69,1
28107,97,33,65,1
28109,6,78,18,2
28111,28,70,27,1
28113,85,31,68,1
28115,0,74,18,7
28117,0,83,14,1
28119,100,2,97,0
28121,0,71,24,3
28123,82,43,45,10
28125,100,2,97,1
28127,75,48,50,1
28129,0,69,29,1
28131,0,73,24,1
28133,100,2,96,1
28135,100,18,82,0
28137,52,56,40,3
28139,0,72,20,6
28141,0,92,3,4
28143,100,1,97,1
28145,0,75,18,5
28147,87,36,62,1
28149,96,34,63,1
28151,97,10,88,1
28153,90,44,55,1
28155,0,74,23,1
28157,100,1,99,0
28159,96,31,65,1
28161,48,42,55,1
28163,95,20,79,0
29001,0,93,2,2
29003,0,94,1,2
29005,0,97,0,2
29007,0,84,6,4
29009,0,81,1,14
29011,0,91,0,3
29013,0,96,1,2
29015,0,96,1,2
29017,0,99,0,0
29019,24,70,16,5
29021,0,82,9,6
29023,0,87,10,1
29025,0,95,2,1
29027,0,91,5,2
29029,0,93,1,4
29031,22,79,15,2
29033,0,95,3,1
29035,0,99,0,1
29037,0,86,7,5
29039,0,96,0,2
29041,0,94,3,1
29043,0,92,1,3
29045,0,98,0,1
29047,3,77,8,8
29049,0,92,2,2
29051,21,75,15,4
29053,0,88,5,2
29055,0,96,1,2
29057,0,95,1,2
29059,0,96,1,1
29061,0,97,1,1
29063,0,97,1,1
29065,0,94,0,2
29067,0,98,0,1
29069,0,72,17,10
29071,0,95,1,2
29073,0,96,0,2
29075,0,96,1,1
29077,0,87,6,4
29079,0,96,1,2
29081,0,97,0,1
29083,0,95,2,1
29085,0,95,1,2
29087,0,98,0,0
29089,0,88,6,2
29091,0,96,1,1
29093,0,96,2,1
29095,81,50,34,12
29097,2,82,3,11
29099,0,95,2,1
29101,0,86,5,4
29103,0,96,2,1
29105,0,94,1,3
29107,0,92,4,3
29109,0,85,1,11
29111,0,92,3,1
29113,0,91,3,3
29115,0,94,1,3
29117,0,94,3,2
29119,33,74,1,19
29121,0,91,5,1
29123,0,96,1,2
29125,0,98,0,1
29127,0,88,8,1
29129,.,99,0,0
29131,0,95,1,2
29133,96,67,31,2
29135,0,90,1,8
29137,0,92,4,1
29139,0,93,2,2
29141,0,95,1,2
29143,0,73,23,2
29145,0,80,2,7
29147,0,97,1,1
29149,0,95,1,2
29151,0,99,0,0
29153,0,99,0,1
29155,65,59,39,2
29157,0,95,0,3
29159,0,78,5,13
29161,0,91,4,2
29163,0,89,4,3
29165,0,75,9,8
29167,0,94,1,2
29169,0,72,14,7
29171,0,98,0,1
29173,0,95,3,1
29175,0,88,5,2
29177,0,95,2,2
29179,0,95,3,1
29181,0,97,1,1
29183,0,85,7,3
29185,0,95,1,3
29186,0,96,1,1
29187,0,95,2,1
29189,75,53,37,3
29195,0,76,7,15
29197,.,97,0,1
29199,0,99,1,0
29201,0,76,18,3
29203,0,97,0,2
29205,0,96,0,0
29207,0,97,1,1
29209,0,95,1,2
29211,0,74,1,23
29213,0,87,2,8
29215,0,97,1,1
29217,0,95,1,2
29219,0,90,4,4
29221,0,96,1,1
29223,0,97,2,1
29225,0,94,1,2
29227,0,100,0,0
29229,0,97,1,1
29510,99,14,80,4
30001,0,92,0,5
30003,.,12,0,6
30005,0,36,0,1
30007,0,92,1,4
30009,0,93,0,3
30011,.,99,0,1
30013,3,80,3,3
30015,0,92,0,1
30017,0,93,1,2
30019,0,91,1,2
30021,0,93,1,2
30023,0,93,1,2
30025,0,93,1,2
30027,0,94,1,2
30029,0,93,1,3
30031,0,90,1,4
30033,.,100,0,0
30035,50,17,0,1
30037,.,91,0,2
30039,0,94,1,1
30041,4,50,1,2
30043,0,90,1,2
30045,0,94,2,1
30047,47,48,1,2
30049,0,90,1,3
30051,0,97,0,0
30053,0,90,1,4
30055,0,94,2,1
30057,0,93,1,3
30059,.,95,0,2
30061,0,85,1,6
30063,0,88,1,2
30065,0,93,1,4
30067,0,93,0,4
30069,0,96,3,0
30071,0,74,0,3
30073,0,72,1,1
30075,0,87,0,5
30077,0,90,1,2
30079,.,88,0,4
30081,0,90,0,5
30083,0,89,1,5
30085,44,22,0,1
30087,0,45,0,4
30089,0,81,1,4
30091,0,87,1,3
30093,0,89,1,4
30095,0,94,0,3
30097,0,97,0,1
30099,0,92,0,3
30101,0,90,1,3
30103,.,80,0,8
30105,0,76,1,2
30107,0,92,2,2
30109,0,93,1,1
30111,5,81,1,7
31001,0,80,2,15
31003,0,91,0,7
31005,.,95,0,5
31007,0,80,3,16
31009,.,98,0,0
31011,0,95,0,3
31013,0,73,1,16
31015,0,93,1,3
31017,.,95,0,2
31019,36,82,2,14
31021,0,91,1,3
31023,0,91,1,7
31025,0,94,1,3
31027,0,96,1,2
31029,0,80,0,18
31031,0,84,0,2
31033,0,86,0,10
31035,0,83,2,14
31037,92,37,1,61
31039,0,75,1,20
31041,0,93,1,3
31043,98,33,3,56
31045,0,81,2,3
31047,93,47,3,47
31049,0,94,1,3
31051,0,91,2,6
31053,5,78,1,19
31055,80,56,17,18
31057,0,86,1,12
31059,41,91,2,6
31061,0,96,0,2
31063,0,92,1,4
31065,0,94,1,4
31067,0,93,1,3
31069,0,82,1,12
31071,.,99,0,1
31073,0,88,1,9
31075,.,99,0,1
31077,.,94,0,6
31079,67,54,2,40
31081,0,93,1,4
31083,.,95,0,4
31085,.,95,0,3
31087,0,94,0,3
31089,0,85,0,13
31091,.,97,0,1
31093,0,95,0,3
31095,0,92,1,5
31097,0,84,1,12
31099,0,92,1,6
31101,0,85,1,10
31103,.,98,0,0
31105,0,81,0,13
31107,0,80,1,2
31109,25,73,6,11
31111,0,84,1,12
31113,0,96,1,2
31115,.,94,0,6
31117,0,90,6,1
31119,10,68,2,25
31121,0,92,0,6
31123,0,75,0,22
31125,0,93,1,4
31127,0,93,1,3
31129,0,96,1,2
31131,0,87,1,10
31133,0,94,1,4
31135,0,88,1,7
31137,0,91,0,6
31139,0,96,0,2
31141,35,65,1,31
31143,0,95,0,4
31145,0,93,1,5
31147,0,89,0,1
31149,.,95,0,0
31151,44,62,1,34
31153,23,75,7,13
31155,0,94,1,3
31157,6,59,1,36
31159,0,93,1,3
31161,.,69,0,7
31163,0,93,0,5
31165,.,91,0,8
31167,0,87,1,7
31169,0,93,1,4
31171,0,98,1,0
31173,86,26,0,5
31175,0,95,0,4
31177,0,94,1,3
31179,0,77,2,19
31181,0,92,0,5
31183,.,100,0,0
31185,0,88,1,7
32001,0,66,2,18
32003,88,31,12,42
32005,0,69,0,19
32007,9,62,1,29
32009,.,50,0,38
32011,0,85,1,9
32013,22,57,1,34
32015,0,62,1,30
32017,0,88,2,5
32019,7,65,1,24
32021,0,55,5,15
32023,3,67,3,24
32027,0,53,1,30
32029,0,80,2,10
32031,52,49,3,37
32033,0,75,1,16
32510,22,54,0,38
33001,0,94,1,2
33003,0,96,1,1
33005,0,94,1,1
33007,0,95,0,1
33009,0,92,1,2
33011,15,82,3,8
33013,0,92,2,2
33015,0,92,1,2
33017,0,90,2,2
33019,0,94,1,1
34001,65,46,19,24
34003,80,58,6,20
34005,51,66,20,7
34007,72,48,25,19
34009,20,79,8,11
34011,77,35,24,38
34013,97,28,45,21
34015,26,76,14,6
34017,98,17,16,57
34019,0,87,2,5
34021,87,44,23,18
34023,82,37,11,26
34025,62,72,10,12
34027,24,73,4,12
34029,27,78,6,13
34031,95,34,12,49
34033,79,65,21,11
34035,78,56,10,16
34037,0,88,3,7
34039,93,37,24,34
34041,7,81,5,9
35001,93,23,2,66
35003,0,71,1,16
35005,99,28,2,69
35006,100,17,1,40
35007,67,40,0,58
35009,87,37,7,53
35011,100,49,1,49
35013,99,14,2,82
35015,82,42,1,55
35017,95,29,1,69
35019,100,6,0,91
35021,.,53,0,45
35023,100,29,0,70
35025,96,29,4,67
35027,69,39,1,44
35028,0,66,1,25
35029,100,17,1,82
35031,100,5,0,14
35033,100,5,1,94
35035,13,54,6,32
35037,86,42,2,54
35039,100,4,0,78
35041,95,43,2,53
35043,99,35,3,46
35045,77,32,1,22
35047,100,8,1,90
35049,81,25,1,69
35051,31,49,1,49
35053,91,23,2,64
35055,66,27,1,66
35057,69,47,2,48
35059,100,47,1,51
35061,99,24,1,69
36001,84,61,24,7
36003,0,96,1,1
36005,100,4,29,61
36007,16,81,9,5
36009,0,87,2,2
36011,0,89,5,2
36013,22,82,3,10
36015,0,83,10,3
36017,0,95,2,2
36019,0,94,3,1
36021,41,80,8,7
36023,0,93,3,2
36025,0,93,1,4
36027,59,70,13,13
36029,76,68,19,7
36031,0,96,1,1
36033,6,84,1,1
36035,0,93,3,2
36037,0,89,3,4
36039,0,86,5,6
36041,0,97,1,1
36043,0,95,2,1
36045,0,82,6,7
36047,99,15,42,28
36049,0,97,1,1
36051,0,93,2,3
36053,0,94,1,2
36055,78,59,24,11
36057,19,76,3,19
36059,89,57,13,19
36061,97,15,25,47
36063,41,80,12,3
36065,67,78,9,6
36067,83,69,18,5
36069,14,88,4,5
36071,63,59,13,24
36073,0,84,5,7
36075,0,95,1,2
36077,0,92,3,3
36079,0,80,2,14
36081,100,14,20,37
36083,33,79,11,6
36085,82,52,14,25
36087,82,51,16,23
36089,0,94,1,1
36091,0,92,2,2
36093,87,65,16,8
36095,0,96,1,2
36097,0,94,1,2
36099,0,91,3,3
36101,0,94,2,1
36103,52,65,9,21
36105,31,65,12,20
36107,0,95,2,1
36109,17,80,7,3
36111,16,75,9,12
36113,0,94,2,2
36115,0,96,1,2
36117,0,86,4,6
36119,90,50,15,28
36121,0,96,1,1
36123,0,94,1,2
37001,67,54,21,21
37003,0,84,4,7
37005,0,82,1,16
37007,87,34,58,3
37009,0,89,0,9
37011,21,89,1,8
37013,65,51,32,13
37015,100,15,81,2
37017,72,40,41,14
37019,10,69,16,10
37021,11,73,9,11
37023,13,74,6,10
37025,39,60,19,14
37027,8,81,6,8
37029,0,79,13,3
37031,0,79,7,6
37033,47,53,36,6
37035,46,64,9,15
37037,33,56,13,26
37039,0,91,2,4
37041,30,50,42,4
37043,0,93,1,4
37045,34,64,26,5
37047,69,52,33,8
37049,37,54,29,8
37051,89,34,45,11
37053,0,79,5,5
37055,0,82,3,11
37057,76,74,10,11
37059,0,79,6,11
37061,82,37,25,35
37063,97,22,51,21
37065,91,28,63,7
37067,79,42,30,21
37069,40,52,31,14
37071,52,66,20,9
37073,0,59,35,2
37075,0,83,0,2
37077,72,51,32,12
37079,100,31,41,26
37081,86,38,41,11
37083,86,29,63,3
37085,41,52,25,16
37087,0,90,1,6
37089,22,72,4,19
37091,100,16,80,2
37093,95,28,37,17
37095,99,52,30,15
37097,38,72,14,9
37099,15,79,1,9
37101,32,61,16,18
37103,95,42,47,7
37105,97,43,22,30
37107,85,38,48,11
37109,5,81,6,10
37111,0,80,3,11
37113,0,82,1,13
37115,0,95,0,3
37117,93,43,49,5
37119,88,33,42,17
37121,0,90,0,8
37123,52,45,20,31
37125,41,66,19,11
37127,87,37,46,10
37129,45,64,22,8
37131,100,16,79,3
37133,42,61,19,11
37135,34,56,13,14
37137,0,69,20,6
37139,63,47,43,5
37141,57,67,19,11
37143,0,63,31,2
37145,47,57,31,7
37147,89,38,48,9
37149,0,79,6,11
37151,43,70,6,19
37153,83,46,37,9
37155,99,16,25,11
37157,43,63,20,11
37159,69,64,19,13
37161,15,75,12,6
37163,93,39,26,29
37165,94,32,46,2
37167,58,74,13,7
37169,0,87,4,5
37171,1,75,3,19
37173,7,69,1,4
37175,0,83,5,5
37177,100,42,33,17
37179,45,69,13,14
37181,99,26,58,12
37183,63,50,24,15
37185,100,18,63,6
37187,100,21,70,7
37189,0,86,1,7
37191,83,41,35,17
37193,14,81,4,12
37195,91,34,47,16
37197,0,75,3,20
37199,0,87,1,10
38001,0,91,3,2
38003,0,95,2,1
38005,.,31,0,1
38007,.,96,0,0
38009,29,64,1,2
38011,0,91,1,6
38013,0,94,1,2
38015,7,87,1,2
38017,0,85,6,3
38019,0,95,0,3
38021,0,91,2,5
38023,0,97,0,1
38025,50,76,0,3
38027,0,88,0,4
38029,0,98,0,0
38031,0,97,1,1
38033,0,92,1,2
38035,0,83,4,4
38037,0,88,1,1
38039,0,95,1,1
38041,0,93,1,1
38043,0,92,1,5
38045,0,94,1,1
38047,0,97,1,0
38049,0,96,1,2
38051,0,95,1,3
38053,20,78,0,1
38055,0,85,1,1
38057,0,94,1,1
38059,2,88,1,1
38061,27,39,1,3
38063,0,94,1,2
38065,0,89,0,5
38067,0,86,1,7
38069,0,95,0,0
38071,0,73,1,1
38073,0,96,2,1
38075,0,93,1,2
38077,0,89,1,4
38079,100,14,0,0
38081,0,95,1,2
38083,.,94,0,0
38085,.,2,0,0
38087,.,100,0,0
38089,0,92,1,3
38091,.,98,0,2
38093,0,92,1,2
38095,0,88,1,4
38097,0,92,1,5
38099,0,77,1,21
38101,0,87,4,3
38103,0,95,1,1
38105,7,86,1,2
39001,0,98,0,1
39003,65,73,16,3
39005,0,96,1,1
39007,0,86,3,5
39009,0,92,2,1
39011,0,96,0,1
39013,0,93,2,1
39015,0,97,1,1
39017,14,77,10,5
39019,0,97,1,0
39021,0,92,2,1
39023,38,79,10,4
39025,0,93,1,2
39027,0,91,2,3
39029,0,94,2,1
39031,0,95,1,1
39033,0,95,1,1
39035,92,47,41,6
39037,0,96,0,1
39039,0,82,3,11
39041,2,82,6,3
39043,86,78,11,3
39045,14,84,8,2
39047,0,92,2,2
39049,72,54,30,6
39051,0,85,1,10
39053,0,93,4,1
39055,0,94,2,1
39057,0,81,7,3
39059,0,93,2,1
39061,85,52,38,3
39063,0,88,2,4
39065,0,95,1,1
39067,0,95,2,0
39069,0,90,1,7
39071,0,94,1,1
39073,0,97,1,0
39075,0,98,0,1
39077,0,88,1,8
39079,0,97,1,1
39081,20,86,8,1
39083,0,93,1,2
39085,34,85,5,6
39087,0,94,2,1
39089,0,87,6,1
39091,0,89,2,1
39093,67,70,11,11
39095,69,63,24,6
39097,0,93,2,2
39099,84,69,21,5
39101,0,87,4,4
39103,0,94,1,1
39105,0,97,1,1
39107,0,96,0,1
39109,0,90,2,2
39111,0,98,0,0
39113,74,62,28,3
39115,0,88,3,0
39117,0,96,1,2
39119,0,89,4,1
39121,0,99,0,0
39123,0,89,1,6
39125,0,92,1,4
39127,0,98,1,0
39129,51,95,2,1
39131,0,96,1,1
39133,0,89,5,1
39135,0,97,0,1
39137,5,89,0,8
39139,13,82,9,2
39141,0,90,3,1
39143,0,78,3,12
39145,0,95,1,1
39147,0,89,1,5
39149,0,92,2,1
39151,46,81,11,2
39153,68,70,21,2
39155,58,82,12,1
39157,0,94,1,2
39159,0,91,1,1
39161,0,93,1,2
39163,0,98,0,0
39165,0,86,2,3
39167,0,96,1,1
39169,0,93,2,2
39171,0,93,0,4
39173,0,84,2,7
39175,0,93,0,4
40001,100,24,0,9
40003,0,87,2,3
40005,98,46,4,3
40007,30,64,1,33
40009,0,74,3,14
40011,14,59,3,15
40013,22,56,2,6
40015,80,46,2,11
40017,4,71,3,9
40019,81,58,9,7
40021,100,27,2,10
40023,97,47,16,2
40025,0,67,0,31
40027,3,64,6,10
40029,100,46,1,4
40031,86,49,23,13
40033,0,65,4,9
40035,30,53,4,3
40037,2,64,3,4
40039,69,58,3,25
40041,46,41,1,5
40043,0,78,1,8
40045,0,84,1,12
40047,26,68,5,14
40049,0,65,4,9
40051,0,77,4,6
40053,0,82,1,6
40055,0,74,2,20
40057,72,48,11,35
40059,0,67,0,29
40061,0,58,1,2
40063,16,54,3,4
40065,60,53,7,29
40067,10,72,1,11
40069,2,56,2,5
40071,8,64,3,10
40073,22,67,1,19
40075,0,63,6,17
40077,25,58,1,4
40079,6,53,2,9
40081,0,73,3,3
40083,22,69,9,8
40085,19,59,1,23
40087,68,62,3,17
40089,74,50,10,6
40091,39,52,6,2
40093,0,80,1,14
40095,100,41,2,23
40097,44,46,1,2
40099,0,63,2,6
40101,93,39,12,7
40103,4,67,2,3
40105,84,53,4,1
40107,73,46,5,2
40109,79,43,21,24
40111,83,47,9,3
40113,96,46,15,3
40115,42,52,1,7
40117,2,68,2,3
40119,0,69,4,5
40121,42,51,3,4
40123,72,52,2,5
40125,22,61,4,5
40127,11,58,1,2
40129,0,81,1,6
40131,15,57,2,5
40133,64,50,4,4
40135,74,44,4,5
40137,11,74,3,10
40139,76,37,1,59
40141,100,45,11,35
40143,79,50,15,17
40145,63,56,5,5
40147,1,63,5,7
40149,0,75,4,12
40151,0,83,3,7
40153,0,78,1,15
41001,0,86,0,8
41003,6,77,1,12
41005,3,75,1,14
41007,31,80,1,14
41009,0,84,1,7
41011,0,73,1,9
41013,0,75,0,16
41015,0,69,1,11
41017,0,84,1,11
41019,0,79,1,9
41021,.,85,0,10
41023,0,92,0,5
41025,0,85,0,5
41027,20,50,1,45
41029,6,74,1,18
41031,89,37,1,33
41033,0,82,1,10
41035,15,69,1,17
41037,0,78,1,15
41039,1,72,2,14
41041,3,68,1,16
41043,2,80,1,12
41045,71,44,0,51
41047,53,51,1,41
41049,38,48,0,49
41051,74,54,9,21
41053,1,69,1,22
41055,0,87,0,10
41057,0,70,1,22
41059,32,55,1,37
41061,0,87,0,6
41063,0,91,0,4
41065,0,65,1,27
41067,33,56,2,26
41069,0,87,0,8
41071,8,70,1,23
42001,0,85,3,11
42003,71,71,22,1
42005,0,97,1,0
42007,25,85,10,1
42009,0,97,1,1
42011,47,64,6,27
42013,0,94,4,1
42015,0,96,1,1
42017,16,83,5,5
42019,0,96,1,1
42021,0,91,6,1
42023,0,97,1,1
42025,0,91,3,5
42027,0,90,2,2
42029,19,75,10,9
42031,0,97,1,1
42033,0,97,1,1
42035,0,96,1,1
42037,0,94,2,2
42039,0,92,3,2
42041,0,83,4,5
42043,82,57,24,11
42045,83,59,31,3
42047,0,96,0,2
42049,70,78,12,5
42051,8,90,7,1
42053,.,97,0,2
42055,13,84,5,7
42057,0,97,1,1
42059,0,98,1,0
42061,0,96,2,1
42063,0,95,2,1
42065,0,98,0,1
42067,0,93,1,5
42069,14,81,6,9
42071,51,72,6,16
42073,0,88,9,1
42075,53,76,3,18
42077,68,56,9,30
42079,34,78,6,14
42081,23,86,7,2
42083,0,96,1,1
42085,61,85,11,1
42087,0,94,3,2
42089,39,59,20,18
42091,43,71,13,5
42093,0,91,2,3
42095,36,69,9,17
42097,0,92,2,4
42099,0,96,1,1
42101,98,14,59,17
42103,63,77,9,12
42105,0,97,1,1
42107,0,92,2,4
42109,0,94,2,3
42111,0,98,1,1
42113,0,97,2,1
42115,0,96,1,2
42117,0,97,1,1
42119,0,91,3,3
42121,0,95,3,1
42123,0,97,1,1
42125,0,91,4,1
42127,0,94,2,3
42129,11,92,4,1
42131,0,96,1,1
42133,52,78,9,8
44001,0,91,2,2
44003,0,88,2,6
44005,37,80,7,8
44007,77,50,11,32
44009,0,89,2,3
45001,67,60,36,1
45003,30,56,33,7
45005,100,2,95,2
45007,25,72,20,4
45009,100,27,69,1
45011,88,40,54,2
45013,68,44,31,20
45015,47,53,32,8
45017,81,31,64,4
45019,79,46,44,6
45021,38,67,26,5
45023,72,49,47,1
45025,72,54,38,4
45027,89,33,61,4
45029,95,44,49,3
45031,83,42,55,2
45033,83,36,55,3
45035,53,54,33,6
45037,69,51,43,3
45039,100,11,86,2
45041,72,42,52,3
45043,71,50,45,4
45045,44,59,23,12
45047,63,53,36,9
45049,97,32,64,2
45051,23,65,21,8
45053,100,14,62,23
45055,22,65,28,4
45057,72,63,29,6
45059,32,59,31,7
45061,100,6,93,1
45063,43,68,20,6
45065,100,19,80,0
45067,100,23,73,2
45069,94,31,59,1
45071,68,48,37,12
45073,0,78,10,8
45075,91,20,77,2
45077,0,83,7,5
45079,87,34,56,5
45081,95,43,32,23
45083,56,62,24,9
45085,92,33,61,3
45087,14,59,37,1
45089,100,6,92,1
45091,30,67,22,6
46003,0,89,1,8
46005,7,70,2,11
46007,100,25,0,3
46009,0,96,1,1
46011,0,89,1,3
46013,0,89,1,1
46015,0,66,0,3
46017,.,0,.,.
46019,0,88,0,6
46021,.,98,0,1
46023,80,48,0,3
46025,0,94,1,4
46027,0,82,3,3
46029,0,92,1,2
46031,.,20,0,1
46033,0,80,1,5
46035,0,90,1,3
46037,0,85,0,2
46039,0,96,1,2
46041,.,32,0,1
46043,0,95,0,1
46045,0,93,0,5
46047,0,73,1,3
46049,0,97,1,0
46051,0,95,0,3
46053,0,82,0,1
46055,0,91,0,1
46057,0,95,0,4
46059,.,98,0,1
46061,0,97,0,1
46063,.,98,0,1
46065,0,77,1,3
46067,0,96,1,2
46069,.,82,0,1
46071,.,45,0,0
46073,0,97,0,2
46075,0,79,3,2
46077,0,94,1,3
46079,0,94,1,2
46081,0,88,1,5
46083,0,94,1,2
46085,.,64,0,0
46087,0,96,0,1
46089,0,98,1,0
46091,0,92,1,3
46093,0,89,1,3
46095,100,16,0,0
46097,0,96,1,2
46099,26,77,8,6
46101,0,66,2,2
46103,15,72,2,5
46105,.,96,0,0
46107,0,93,1,1
46109,30,56,1,2
46111,.,94,0,2
46113,.,0,0,3
46115,0,97,1,1
46117,0,78,0,1
46119,0,93,1,1
46121,100,2,0,0
46123,0,73,1,1
46125,0,95,1,2
46127,0,92,1,3
46129,0,72,0,2
46135,0,89,2,4
46137,.,15,0,0
47001,0,87,7,3
47003,29,70,9,19
47005,0,93,3,2
47007,0,93,1,5
47009,0,91,4,3
47011,0,85,7,6
47013,0,98,0,1
47015,0,95,1,2
47017,0,84,12,2
47019,0,95,2,2
47021,0,94,2,3
47023,0,82,13,3
47025,0,97,1,1
47027,0,96,1,2
47029,0,92,3,3
47031,0,87,4,5
47033,0,70,14,15
47035,0,94,1,4
47037,92,32,46,17
47039,0,91,4,4
47041,0,88,2,9
47043,0,88,6,4
47045,21,74,21,4
47047,82,37,58,4
47049,0,98,0,1
47051,0,89,6,4
47053,45,73,23,3
47055,0,81,14,1
47057,0,95,0,4
47059,0,93,2,3
47061,0,99,0,1
47063,27,75,4,17
47065,66,59,31,7
47067,0,99,0,0
47069,85,44,52,2
47071,0,92,5,2
47073,0,95,2,2
47075,100,31,62,6
47077,0,86,10,3
47079,0,85,12,2
47081,0,94,2,2
47083,0,92,4,2
47085,0,94,4,1
47087,0,98,0,1
47089,0,91,2,5
47091,0,97,1,2
47093,27,77,14,5
47095,0,68,27,2
47097,84,54,41,3
47099,0,95,2,2
47101,0,93,2,2
47103,0,85,9,4
47105,0,84,2,13
47107,0,87,6,4
47109,0,90,7,1
47111,0,93,0,6
47113,86,34,59,5
47115,0,93,4,2
47117,0,84,8,6
47119,13,72,18,7
47121,0,97,1,1
47123,0,91,3,5
47125,62,58,24,10
47127,0,96,3,1
47129,0,99,0,1
47131,39,79,14,5
47133,0,98,1,1
47135,0,93,3,2
47137,.,98,0,2
47139,0,97,1,2
47141,5,85,3,10
47143,0,90,2,7
47145,0,92,4,2
47147,48,80,10,9
47149,32,67,17,10
47151,0,99,0,0
47153,0,93,0,5
47155,0,90,1,6
47157,95,20,69,7
47159,0,92,3,4
47161,0,95,2,2
47163,0,92,4,2
47165,7,83,10,5
47167,41,73,24,2
47169,0,84,13,3
47171,0,91,0,9
47173,0,94,3,1
47175,0,98,0,1
47177,0,81,4,13
47179,11,87,6,5
47181,0,97,1,1
47183,0,89,8,2
47185,0,94,3,2
47187,8,85,5,5
47189,0,83,9,5
48001,63,57,17,22
48003,100,31,2,65
48005,88,49,17,31
48007,14,53,1,40
48009,0,85,0,11
48011,0,86,2,10
48013,100,25,0,74
48015,60,49,10,38
48017,100,19,0,80
48019,0,68,1,29
48021,71,39,7,50
48023,0,73,3,21
48025,100,20,2,77
